전원의  행진	promenade
루브르 박불관	Louvre
루블	ruble
루비	ruby
루비듐	rubidium
루비듐 스트론튬 연대 측정	rubidium-strontium dating
루비색	ruby
루비색 석영	rubasse
루비콘강	Rubicon
루빅 큐브	Rubik('s) Cube
루빈슈타인	Rubinstein
루사카	Lusaka
루소주의	Rousseau
루손섬	Luzon
루슈 장식	ruching
루스리프식의	looseleaf
루스벨트	Roosevelt
루시타니아	Lusitania
루시페라아제	luciferase
루시페린	luciferin
루시페린의 산화를 돕는 효소	luciferase
루신	leucine
루아나	ruana
루앙	Rouen
루이 14세의  왕비로서      프랑스혁명 때 처형당함	Antoinette
루이사이	lewisite
루이셤	Lewisham
루이스	Lewes
루이스	Louis
루즈	rouge
루즈 에 느와르	rouge et noir
루크	rook
루크 파이	rook pie
루타	bagger
루타	rue
루터	Luther
루터파의	Lutheran
루테늄	ruthenium
루테늄의	ruthenic
루테인	lutein
루테튬	lutetium
루트	english: ROUTE
루틴	routine
루페	loupe
루프랙	roof rack
루피	rupee
루피 은화	rupee
루피아인도네시아의 화폐단위 , 기호 , =100 sen , 루피아 지폐	rupiah
루핀콩	Lupin
룩셈버그	luxemburg
룩손	luxon
룩업	lookup
룬 문자	rune
룬 문자 비문	runic
룬 문자의	runic
룰	rule
룰라드	roulade
룰렛	roulette
룰루랄라	신나게. delightfully. It's frequently used, but it's not a standard word.
룸 서비스	room service
룸메이드	femme de chambre
룸바	rumba
룸서비스계	room service
룸펜	flopper
룸펜의	lumpen
룻	Ruth
룻기	Ruth
뤼순의 별칭	port Arthur
류	(繆) NULL
류	(飂) NULL
류머티스열	rheumatic fever
류머티즘	rheumatism
류머티즘인자	rheumatoid factor
류머티즘학	rheumatology
류머티즘환자	a rheumatic
류슈	ruche
류트	a lute
류트 연주자	lutanist
류트 제조인	a litist, a maker of lutes
륙색	packsack
륙색	rucksack
륭	(瀜) NULL
르네상스	Renaissance
르네상스식 미술양식	Renaissance
르네상스의	Renaissance
르네상스의	renaissant
르네상스적 교양인	Renaissance man
르누아르	Renoir
르랑스의 사상가	montesquieu
르방지방에서 쓰이는 이탈리아	lingua franca
르브와이에 분만방식의	Leboyer
르완다	Rwanda
르우벤	Reuben
르우벤족	Reuben
르크레티아	Lucretia
르포르타주	reportage
를 가진	diploma'd
를 나눈 구	district
를 나르는 인부	hod carrier
를 달다	tag
를 돌리는 밧줄	main brace
를 마주보는 이탈리아 남단의 큰 바위	scylla
를 모는 사람	charioteer
를 받고	with
를 받는 사람	garnishee
를 붙이는 사람	tagger
를 섬기다	wait
를 쓴	tiaraed
를 이룰 수 있는	shapable
를 일으키는	cankerous
를 지휘하다	con
를 짜낸찌끼	crackling
를 출연자에게 보이는 담당 여직원	idiot girl
를 치다	varitype
를 팔아 기름을 모으는 자선 단체 교회가 주최하는 파티	box supper
를 포함하는 경우와	Indochina
를 하는 과학자	fieldworker
를 하는 사람	bricoleur
를 합병하려는 운동	irredentism
를 합친 여성에의 경칭	Ms
를 형성하다	callus
리	a reason for doing sth, good cause for sth
리가	Riga
리가 만	Riga
리가제	ligase
리겔	Rigel
리그	a circuit, a league
리그노스	lignose
리그닌	lignify
리그로인	ligroin
리그베다	Rig-veda
리그전	league match, round robin
리넨 등으로 만든 속옷	underlinen
리노	Reno
리노그래피	renography
리노그램	renogram
리놀륨 인각	linocut
리눅스 커널 개발자	Linus
리닌	linin
리더	reader
리더퍼드	rutherford
리더하다	direct
리듐	iridium
리듐의	lithic
리드	lied
리드	reed
리드 계전기	reed relay
리드 악기	reed
리드 악기	reed instrument
리드 오르간	reed organ
리드 음전	ophicleide
리드 음전	reed stop
리드를 잡는 득점	goahead run
리드베르크	rydberg
리드주자	reedman
리듬	rhythm
리듬	rising rhythm
리듬 감각이 있는 사람	rhythmist
리듬 담당 그룹	rhythm section
리듬 악기를 중심으로 편성된 밴드	rhythm band
리듬 앤드 블루스	rhythm and blues
리듬 체조	rhythmic sportive gymnastics
리듬을 만들어내는사람	rhythmist
리듬있는	cadent
리듬체조	eurhythmics
리디아 말	Lydian
리디아 사람	Lydian
리디아 사람의	Lydian
리라	Lyra
리라	lyre
리마	Lima
리마콩	Lima bean
리머	burr
리머	reamer
리모주 도자기	Limoges
리모트 배치	remote batch
리모트 콘트롤	remote control
리무쟁종의소	Limousin
리무진	limo
리무진	limousine
리미터	limiter
리바비린	ribavarin
리바운드	rebound
리바이벌	retro
리바이벌	revivable
리버풀 방언	scouse
리베르만주의	Libermanism
리베이트	rebate
리벳	rivet
리벳 박는 기계	rivet gun
리벳공	rivet
리벳으로 고정시키다	rivet
리벳죄는 기계	rivet
리보 핵산	ribonucleic acid
리보 핵산	RNA
리보뉴클레아제	ribonuclease
리보솜	ribosome
리보솜 리보 핵산	ribosomal RNA
리보오스	ribose
리보플라빈	riboflavin
리보핵산의 효소분해에 의하여 얻어짐	adenosine
리본	ribbon
리본	fillet
리본 마그네슘	ribbon
리본 모양의 것	ribbon
리본 모양의 줄이 있는	ribboned
리본으로 매다	fillet
리본으로 장식하다	ribbon
리본을 단	ribboned
리본형 사탕과자	ribbon candy
리브가	Rebekah
리브르	livre
리브르금화	livre
리브르빌	Libreville
리브리엄	Librium
리비도의	libidinal
리비스	levi's
리비아	Libya
리비아사람	Libya
리비아의	Libya
리비에라 해안 지방	Riviera
리비우스	Livy
리사는	Lisa (did something)
리사이틀	recital
리사이틀의	recitative
리서스 인자	Rh factor
리성	(理性) being rational
리세르그산	lysergicacid
리셉션	reception
리셍코학설	Lysenkoism
리소겐	lysogen
리소스타핀	lysostaphin
리소좀	lysosome
리스본	Lisbon
리스터 소독법	Listerism
리스터식 소독을 하다	listerize
리스트	a table , a list
리스폰스	response
리시버	receiver
리신	lysin
리아	rya
리아나	liana
리아네	liana
리아시식 해안	ria
리아제등의 효소	lyase
리아트리스속의 식물	blazing star
리알	rial
리알토	Rialto
리알토가	Rialto
리알토교	Rialto
리액터	reactor
리액턴스	reactance
리야드	Riyadh
리얄	riyal
리얼 수트	real suit
리얼 클로즈	real clothes
리얼리스트	realist
리얼리즘	realism
리엔트리 트래프트를 대상으로하는 드래프트	reentry draft
리오그란데 강	Rio Grande
리용	Lyons
리우데자네이루	Rio de Janeiro
리워드 제도	leeward Islands
리저브 트랑슈	reserve tranche
리졸	Lysol
리진	lysine
리처드	Richard
리처드 2세	Richard
리처드 3세	Richard
리처드슨	Richrdson
리처드슨 땅 다람쥐	flickertail
리카도	Ricardo
리카도 학도	Ricardian
리카도 학설의	Ricardian
리케차	rickettsia
리케차병	Japanese river fever
리콜	recall
리쿠드	Likud
리큐어술	liqueur
리크랙	rickrack, ricrac
리크르구스	Lycurgus
리키과 탄산수에 라임과즙을 탄 음료	rickey
리키틱풍의	ricky-tick
리타르단도의 악정	ritardando
리탈	(離脫) to end the relationship, to cut off ties
리터	liter
리토르넬로	ritornello
리토폰	lithopone
리투아니아	Lithuania
리투아니아 말	Lithuanian
리투아니아 사람	Lithuanian
리투아니아의	Lithuanian
리튬	lithium
리트리버	retriever
리트머스	litmus
리트머스	turnsole
리트머스 시험지	litmus paper
리튼	Lytton
리티아 휘석	spodumene
리티아운모	lepidolite
리파마이신	rifamycin
리파제	lipase
리퍼	reefer
리포 단백질	lipoprotein
리포솜	liposome
리포이드	lipoid
리포터	mediaperson
리포트	report
리포트로핀	lipotropin
리프	riff
리프노트	reef knot
리프를 연주하다	riff
리프족의사람	Riff
리프트백차	liftback
리플 컨트롤	ripple control
리플레이션	reflation
리플렉스 증폭 장치의	reflex
리플렉스 형 카메라	reflex camera
리허설	rehearsal, a walkthrough
리히터 스케일	Richter scale
릭토르	lictor
린네	Linnaeus
린네르	flax
린네르	linen
린네르 테이프	inkle, incle
린네르류	linen
린네르상	linen draper
린네르제의	linen
린네르제품	linen
린네르처럼 흰	linen
린네식 분류법에 따르는 사람	Linnaean
린네식 식물 분류법의	Linnaean
린네의	Linnaean
린데이	lindane
린덴	linden
린스제	rinse
린치	kangaroo court
린치 집단	necktie party
린치를 가하다	lynch
린트천	lint
릴	reel
릴랙스하다	relax
릴랙신	relaxin
릴레이 경주	relay
릴로 감아 끌어 당기다	reel
릴로 감아 올리다	reel
릴리스	Lilith
릴리스	release
릴리프 에이스	relief ace
릴캄푸치아의 화폐 단위	riel
릴케	Rilke
림	(惏) NULL
림 구동	rim-drive
림몬	Rimmon
림버거 치즈	Limburger
림브레이크	rim-brake
림스키코르사코프	Rimsky-Korsakov
림포 톡신	lymphotoxin
림포카인	lymphokine
림프톨	lymphocyte
립스틱	lipstick
링	ring
링 둘레를 걸으면서 하는 연기	walkar0und
링거액	Ringer's solution
링기어	ring gear
링깃	ringgit
링바인더의 바인더	ringbinder
링사이드	ringside
링사이드의	ringside
링의 캔버스 바닥	canvas, -vass
링줄	rope
링컨	Lincoln
링컨셔	Lincolnshire
링컨종의 양	Lincoln
링코마이신	lincomycin
링크	link
링크러스타	lincrusta
마	yam, a yard of fabric
마가라이트	margarite
마가린	marg, margarine
마가목	dogberry, rowan tree, service tree, a mountain ash
마가목류	mountain ash
마가목류	whitebeam
마가목의 빨간 열매	rowanberry
마가복음	Mark
마각노출	(馬脚露出) NULL
마갈궁	Capricorn
마감	close, closing, closure
마감날	the cutoff day
마감일	the closing date
마감재	(construction) finishing for materials
마감칠	a topcoat, the finish when painting
마감하다	to close, terminate sth
마개	cap, plug
마개 막다	bung
마개 벽돌마개 벽돌 쌓기	nogging
마개 뽑는 서비스료	corkage
마개를 따고	abroach
마개를 안 뽑은	untapped
마개를 하는 사람	corker
마개를 하다	stop
마거리트	marguerite
마계	devildom
마구	with force, forecefully
마구	(馬具) harness, horse equipment
마구	continuously, without pause
마구간	(馬廐間) stables
마구류	(馬具類) harnessry, saddlery
마구상	(馬具商) harnessry (sells horse supplies), saddleless, saddlery
마구잡이	indiscrimination, hit-and-miss, indiscriminate
마굴	hell
마권 매장	horse parlor
마권업	bookmaking
마권업자	bookie
마권업자	bookmaker
마귀	(魔鬼) evil spirit
마귀숭배	demonolatry
마그나 카르타	Great Charter
마그날륨	magnalium
마그네사이트	magnesite
마그네슘	magnesium
마그네슘 합금제 자동차 바퀴	mag wheel
마그네슘광	magnesium light
마그네트론	magnetron
마그넷 스쿨	magnet school
마그녹스로	magnox
마그레브 지방	Maghreb
마그마	magma
마기 승족	Magi
마기 승족의	magian
마기승	magian
마기족 사람	magus
마나과	Managua
마나과호	(Lake  Managua  )
마나마	Manama
마나킨 새	manakin
마냥	to the fullest, continuously
마네킨	model
마네킹	mannequin
마녀	witch, enchantress
마녀 사냥	witch hunt
마녀 집회	coven
마녀를 어머니로 하는	hagborn
마녀에게서 태어난	hagborn
마녀의	witch
마녀의 집회	covin, esbat
마녀의 하나	Medusa
마노	agate
마노 무늬의 도기	agateware
마노구슬	aggie
마누라	one’s wife
마는 법	furl
마늘	Garlic
마늘 냄새가 나는	garlicky
마늘류	allium
마늘을 넣은 폴란드의 훈제 소시지	kielbasa
마늘이 들어 있는	garlicky
마늘이 있는	barbed
마늘쫑	young garlic stems
마능 해독제	mithridate
마니	(摩尼) NULL
마니교	Manichaeism
마니교도	Manichaean, -che-
마니교의 교도	manichee
마닐라 로프	Manila rope
마닐라 삼	manila
마닐라 삼	Manila hemp
마닐라 여송연	manila
마닐라 지	Manila paper
마닐라 폴더	Manila folder
마닐라삼	abaca
마님	maam, milady, missis
마다	each one, every one
마다가스카르섬 동쪽 인도야의 섬 나라	Mauritius
마다카르 사람	madagascan
마다카스카르의	madagascan
마다하다	to refuse or say something is distasteful
마당	An instance, case 
마당	a garden; a center/place for sth
마당발	a wide-foot, EEE
마당비	a besom, a broom 
마대	(麻袋) sack
마데이라 흰포도주	Madeira
마도요	curlew
마도요	whaup
마도위	a horse coper/copper/broker
마두	horsepox
마드라스	Madras
마드릴렌	madrilene
마들렌	Madeleine
마들타운	Middletown
마디	A word, a tune, a song,  a paragraph
마디	an articulation, a joint, a knuckle
마디많은	nodose
마디투성이	knurly, knottiness
마디표	section mark
마디풀	knotgrass
마땅하다	Be right, approppriate
마땅하여	reasonably
마땅히	due, properly, rightly
마뜩하다	pleasing, satisfactory
마라노인	Marrano
마라스키노 술	maraschino
마라카스	maraca
마라타 사람	Mahratta
마라톤	Marathon
마라톤 경주	marathon race
마라화나 담배	spliff
마라화나 문화	pot culture
마량백미	(馬良白眉) NULL
마레이징강	maraging steel
마렝고풍의	marengo
마력	(馬力) the power of a horse
마력	(魔力-) bewitchment, charm, spell, witchcraft, 
마력 있는	talismanic
마력을 가진 말	Bayard
마력을 높인	hoppedup
마력을 늘리다	soup
마력이 적은	lowpowered
마력있는	witching
마련	planning, making arrangements ; provisions, preparations
마련되다	To be planned and arranged
마련하다	To plan, arrange
마로니에	horse chestnut
마로니에	marronnier
마로니에 놀이	conker
마로니에 열매	conker
마롱글라세	marronglace
마루	A wooden floor, floor, flooring
마루깔개감	carpeting
마루돌	keystone
마루밑	hypocaust (central heating under the floor)
마루청	floorboards
마룻걸레	floorcloth
마룻깔개	floorcloth
마룻대	ridge pole,a ridge beam
마룻대공	king post
마룻대를 올리다	ridge
마룻바닥에 쓰러뜨리는 사람	floorer
마룻줄	halyard
마르	maar
마르가르산	margaric acid
마르가리타	margarita
마르게 하다	choke
마르는 일이 없는	drainless
마르다	Become dry
마르다	to be skinny
마르멜로	quince
마르부르크병	Marburg disease
마르살라 백포도주	Marsala
마르세이유	Marseilles
마르셀라	marcella
마르셀식 웨이브	marcel
마르스  마르스	mars
마르지 않은	unseasoned
마르카	markka
마르코니식 무선 전신	marconigram
마르코프 연쇄	Markov(Markoff) chain
마르쿠스 아우렐리우스	Marcus Aurelius
마르크	mark
마르크스 레닌주의	Marxism Leninism
마르크스의	Marxian
마르크스주의	Marxism
마르크스주의자	marxist
마르티니	martini
마름	desiccation
마름돌 ?기	ashlaring
마름모 꼴로 다듬은	diamondcut
마름모 무늬가 있는 동물	diamondback
마름모 장식	hatched moulding
마름모꼴	the mineralogocial shape of a diamond, lozenge
마름모꼴 균열	rhombochasm
마름모꼴 무늬가 있는	diapered
마름모꼴 부표	nun buoy
마름모꼴의	rhombic, -bical
마름모꼴의 면	lozenge
마름모색무늬	argyle
마름쇠	caltrop, -trap
마름질	cut
마리	Number of animals
마리나라	marinara
마리나라를 친	marinara
마리네드	marinade
마리네드에 담그다	marinate
마리네드에 담근 생선	marinade
마리우스	Marius
마리전	(麻履典) NULL
마리하나	Indian hemp
마리화나	cannabis, weed, marihuana
마리화나 담배	a marijuana cigarette, a joint
마리화나 담배를 피우는 사람	reefer
마리화나 담배를 피우다	toke
마리화나 상용자	shithead, weedhead
마리화나 중독자	pothead
마리화나 흡연용 마스크	grass mask
마리화나 흡연용 파이프	bhong
마리화나 흡연자	puller
마리화나가 든 담배	cocktail
마리화나를 넣은 궐련	reefer
마리화나에 건 돈	pot
마리화나의 유효 성분	tetrahydrocannabinol
마리화난	gyve
마립간	(麻立干) NULL
마마	smallpox
마멀레이드	marmalade
마멋	marmot
마멋의 무리	prairie dog
마멸	(磨滅) abrasion, detrition, wearing down
마모	(磨耗) NULL
마모되다	fray
마모직 셔츠	hair shirt
마모트의 무리	whistler
마못	ground hog
마무르다	to finish, conclude
마무리	Finish, completion
마무리 기계	finisher
마무리 손질	benchwork
마무리되지 않은	unwrought
마무리용 녹로	whirler
마무리의	finishing
마무리지다	to end
마무리짓다	to end or finish
마무리칠	setting coat
마무리칠을하다	finish
마무리하는 직공	finisher
마무리하다	conclude, finish, polish of
마물	a monster
마미단	cilice
마미단	haircloth
마미단으로 만든 옷	cilice
마방진	magic square
마법	(魔法) necromancy, sorcery, witchcraft, wizardry, 
마법사	(魔法師) conjurer, -juror, mage, sorcerer 
마법수	magic number
마법에 걸린	charmed
마법으로 보호된	charmed
마법을 거 는	charming
마법을 걸다	hex
마법을 쓰다	conjure
마법을 쓰다	witch
마법을 풀다	disenchant
마법을걸다	bewitch
마법의	magical, related to magic
마법의 약	philter
마법의 탄환 해결책	magic bullet
마보	ass
마부	(馬夫-) coachman, driver, horseboy, stableboy
마부석	coach box, driving box
마부위침	(磨斧爲針) NULL
마분	paris white
마분지	(馬糞紙-) board, chipboard, millboard, strawboard
마블 염색	marbling
마비	(痲痺) palsy, paralysis
마비 상태	torpidity
마비되다	sleep
마비되다무감각하게 되다	torpify
마비되어	asleep
마비된	numb, palsy
마비상태	paralyzation
마비성	(痲痺性) NULL
마비성의	torporific
마비시키는	numbing
마비시키다	anesthetize, benumb, cauterize, paralyze
마비시킴	paralyzation
마비의	paralytic
마비저	farcy
마비총	paragun
마사지	Massage
마사지 기계	massager
마사지 하다	massage
마사지 하다	shampoo
마사지사	a masseur, a masseuse (gives massages)
마상 창 시합	tilt
마상 창 시합을 하다	tilt
마상 창 시합장	tiltyard
마상 창시합	joust
마상용 대형 피스톨	horse plstol
마상의	(馬上衣) NULL
마상이	canoe, dugout
마상재	(馬上才) NULL
마샬 군도서태평양의 산호섬	Marshall Islands
마석 경사암	millstone grit
마섬유	(麻纖維) NULL
마성	devilism
마성	fairyhood
마성의	fiendish
마성적	(魔性的) NULL
마세	masse
마세라티	Maserati
마세루의 수도	Maseru
마셔도 흐트러지지않다	carry
마소	creature
마소직	horsehair
마손	attrition
마손	wear
마쇄	trituration
마수	(魔手-) clutch
마수걸이	the first time you sell something
마수륨의 별칭	masurium
마수모장	(馬瘦毛長) NULL
마술	(魔術) necromancy, sorcery, wizardry, 
마술 연습소	manege
마술 지팡이	magic wand
마술가	horseman
마술교사	riding master
마술사	(魔術師) magus, necromancer, sorcerer, wizard
마술숭배	Wicca
마술신	sevenleague boots
마술용 마약	hellbroth
마술을걸다	enchant
마술의	sorcerous
마술의 거울	magic mirror
마술의 동그라미	magic circle
마술의 양탄자	magic carpet
마술적	(魔術的) NULL
마술적인	magical
마술적인	necromantic
마스카라	eyeblack
마스카라	mascara
마스코트	mascot
마스콘	mascon
마스크	face guard, mask, respirator, visor
마스킹	masking
마스킹 테이프	masking tape
마스터 안테나용	master antenna
마스터 파일	master file
마스트	mast
마스티카	mastic
마시고	merrymaker
마시고 떠드는 모임	potlatch
마시고 떠드는 사람들	revelrout
마시고 흥청거리다	revel
마시기	potation
마시기에 알맞게 된	ripe
마시기의	drinking
마시는 사람	drinker
마시다	To drink
마시맬로	marshmallow
마시장	horsefair
마시장	horse trade
마시지 못할	undrinkable
마신	Demogorgon
마실 것	drinkable
마실 수 있는	drinkable
마아가린	margarine
마야말	maya
마야사람	maya
마약	(痲藥) A drug
마약상	(痲藥商) NULL
마약적	(痲藥的) NULL
마에케나스	Maecenas
마오리 사람	maori
마오리 사람의	Maoriland
마오리족의 추장	rangatira
마오타이주	maotai
마왕	(魔王-) archfiend, Demogorgon, erlking, Evil One, Satan
마요네즈	Mayonnaise
마요네즈에 썬 오이나 올리브 등을 넣어 만든 소스	tartar(e) sauce
마요라나	marjoram
마요라나의 일종	origanum
마우드피스	mouthpiece
마우마우	mau mau
마우에르하켄	piton
마우이 섬	Maui
마을	Town
마을 사람	villager
마음	Heart
마음 깊은곳의	inmost
마음 끄는	engaging
마음 내키지 않은	unwilling
마음 놓이게 하는	heatreasing
마음 부풀어	agog
마음 산란하게	distractingly
마음 속으로부터 귀염을 받는	wellbeloved
마음 아파하다	grieve
마음 아픈	Harrowing
마음 아픈	vexed
마음 아픔	heartache
마음 아픔	pang
마음 편안함	comfort
마음 편함	sans souci
마음가짐	Mental attitude
마음가짐이 덜된 상태	half cock
마음껏	As much as you want
마음껏 즐기다	kvell
마음껏 즐긴	wellcontent
마음내키지 않는	undisposed
마음내키지 않는무의식 중의	involuntary
마음내키지 않음	reluctance, -tancy
마음놓고	to put one's mind at ease
마음놓고있다	rest
마음놓이지 않아	ease
마음대로	As you wish
마음대로 구부릴 수 있는	bendy
마음대로 되는	ductile
마음대로 움직이다	coerce
마음대로 하게 함	indulgence
마음대로 하게하다	indulge
마음대로 하는	independent
마음대로 하다	indulge
마음대로 할 수 있는	welcome
마음대로 할수 있는	disposable
마음대로의	optional
마음대로하다	command
마음먹다	to intend to do
마음먹다	Be determined to
마음먹은대로 말하는	freespoken
마음모꼴 장식	dicing
마음보가 비뚤어진	ill natured
마음속	Deep in one’s heart
마음속에 간직하다	bosom
마음속에 먹다	have
마음속에 몰래	inwardly
마음속에서	inward
마음속에서만 일어나는	immanent
마음속으로	inside
마음속으로 부터의 충심의	intimate
마음쓰다	care
마음씨	Disposition, nature
마음씨 좋은	considerate
마음씨 좋은	well-disposed
마음아프게하다	cut
마음없음	disinclination
마음에 간직하다	retain
마음에 걸려	tormentingly
마음에 그리다	envision
마음에 그리다	represent
마음에 다시 떠오르다	recur
마음에 담아두다	ensoul
마음에 두는	mindful
마음에 두지않는	unmindful
마음에 드는	likeable, nice
마음에 드는  물건-귀여워하는	pet
마음에 드는 것	fave rave
마음에 드는것	favo(u)rite
마음에 들게 하다	recommend
마음에 들다	to appeal to, to like
마음에 들지 않는	unacceptable
마음에 떠오르다	upspring
마음에 맞는	regular
마음에 명기되다	register
마음에 명기하다	register
마음에 붙어 다니다	haunt
마음에 사무치는	penetrative
마음에 사무치다	rankle
마음에 새기게 하다	impress
마음에 안 드는	kindless
마음에 영향을 주는 체험	headtrip
마음에 품다	conceive
마음에 품음	entertainment
마음에도 없는	counterfeit
마음에도 없는 아첨	applesauce
마음에들다	approve
마음에서 떠나지 않는	haunting
마음에서 우러나는	warm
마음에차지않는	unsatisfactory
마음으로	mentally
마음으로 느낀 마음내부에서 경험된	infelt
마음으로 부터의	cheerful
마음으로 부터의	heartfelt
마음으로 부터의	deep, from the heart, profound
마음으로 부터의 기쁨	gusto
마음으로 하는	mental
마음으로부터	heartily
마음으로부터 공감하다	empathize
마음을 가라앉게 하는	heatreasing
마음을 고쳐먹은	newborn
마음을 기울인	bent
마음을 끄느	appealing
마음을 끌다	arrest
마음을 누그러지게 하는	solvent
마음을 뒤흔들어 놓다	upset
마음을 따뜻하게 하는	heartwarming
마음을 밝게하는	cheerful
마음을 빼앗긴	absorbed
마음을 빼앗다	preoccupy
마음을 사로 잡다	captivate
마음을 사로잡는	engrossing
마음을 사로잡다	grip
마음을 사로잡음	enthrallment
마음을 쓰다	reck
마음을 어둡게하다	obfuscate
마음을 어지럽히다	discompose
마음을 움직이지 못하는	unmoving
마음을 정화하다	spiritualize
마음을 좀 먹기	corrosion
마음을 좀먹다	consume
마음을 좀먹다	corrode
마음을 찌르는	pungent
마음을 터놓은	negligee
마음을 혼란케 하다	faze
마음을끌지 않는	unengaging
마음이 기울다	incline
마음이 끌리는	taky
마음이 끌리지 않는	uninviting
마음이 내키지 않게하다	disincline
마음이 내키지 않는	indisposed
마음이 내키지 않다	reluct
마음이 내키지 않은	halfhearted
마음이 내키지않음	indisposition
마음이 넓은	generous
마음이 누그러지다	relent
마음이 당기는	tempting
마음이 동요하는	stormtossed
마음이 동요하지 않은	unfazed
마음이 동하는	inviting
마음이 뒤숭숭하게	discomposingly
마음이 떠난	disaffected
마음이 떨리다	vibrate
마음이 맞는	congenial
마음이 맞는	sympathetic
마음이 무름	tenderness
마음이 바른	right-minded
마음이 변하기 쉬운	instable
마음이 변하기 쉬운	mercurial
마음이 부드러워지다	relent
마음이 비뚤어진	crooked
마음이 빙퉁그러진	tortuous
마음이 산란해진	discomposed
마음이 안 내킴	lassitude
마음이 안정된	eventempered
마음이 약함	weakness
마음이 언제까지나 머무르다	repose
마음이 좁은	narrow
마음이 좁은	narrowminded
마음이 편치 않은	easeless
마음이 편함	gemutlichkeit
마음졸이다	fidget
마의	of a horse
마의	clothes made of hemp
마의 3각 수역	Devil's Triangle
마이 타이주	mai tai
마이너 트랜퀼라이저	minor tranquilizer
마이너리그	minor league
마이너스	negative, minus, detractive
마이너스 경제 정책	diseconomics
마이너스 금리	negative interest
마이너스 기호	negative sign
마이너스 성장	negative growth
마이너스부호가 달린	subtractive
마이너스의	subtractive
마이동풍	(馬耳東風) the horse is not happy like people are when it gets the east wind; the horse does not care what we say
마이스터징거	Meistersinger
마이애미 비치미국 주 남동부의 도시	Miami Beach
마이애미의	Miamian
마이크	Mike, microphone
마이크 공포증	mike fright
마이크로	with a microphone
마이크로	micro
마이크로 공학	micromechanics
마이크로 과도하게 증폭하다	overmike
마이크로 기계	micromachine
마이크로 렌즈	microlens
마이크로 로켓	microrocket
마이크로 미니 컴퓨터	microminicomputer
마이크로 버스	minibus
마이크로 북	micro book
마이크로 사이언스	microscience
마이크로 수면	microsleep
마이크로 이론	microtheory
마이크로 전자 공학	microelectronic engineering
마이크로 초시간의 단위	microsecond
마이크로 출판물	micropublication
마이크로 칩	a micro chip
마이크로 칩	microchip
마이크로 캡슐에 넣다	microencapsulate
마이크로 컴퓨터	microcomputer
마이크로 티칭	microteaching
마이크로 패러드	microfarad
마이크로 프로그램	microprogram
마이크로 프로브	microprobe
마이크로 프리즘초점 스크린 위에 있는 미소 프리즘	microprism
마이크로 필름	microfilm
마이크로 필름	microphotograph
마이크로 필름으로 복사하다	microform
마이크로 혁명	microrevolution
마이크로가우스	microgauss
마이크로도트	microdot
마이크로리더	microreader
마이크로미터	micrometer
마이크로바100만분의 1바	microbar
마이크로버스	microbus
마이크로소프트사	microsoft corporation
마이크로솜	microsome
마이크로스커트	micro
마이크로스커트	microskirt
마이크로스피어	microsphere
마이크로카드축사 사진 카드	Microcard
마이크로코드	microcode
마이크로퀴리방사능 강도의 단위 의 100 만분의	microcurie
마이크로텍스트	microtext
마이크로톰	microtome
마이크로파	E, H, F,
마이크로파를 증폭하다	mase
마이크로폰 붐	microphone boom
마이크로폼	microform
마이크로폼 간행	micropublishing
마이크로폼으로 출판하다	micropublish
마이크로프로그램름을 짜넣다	microprogram
마이크로프로세서	microprocessor
마이크로피시	microfiche
마이크로필름을 확대	microreader
마이크로화하다	demagnify
마이크에서 떨어진	offmike
마이토마이신	mitomycin
마일	mile
마일로	milo
마일수	mileage
마임	mime
마자르 사람	Magyar
마자르말	Magyar
마작	mahjong
마저	first, beforehand
마적단	(馬賊團) NULL
마전	nux vomica
마전자	nux vomica
마전하다	bleach
마제염	canker
마젤란	Magellan
마조르카	Majorca
마조히즘	masochism
마주	Face to face
마주 대하여	visavis
마주 보게 하다	face
마주 보고 앉게 된마차	visavis
마주 보는	visavis
마주 선 두 경기자 사이에 쳐서 넣다	face
마주 앉은 두사람	teteatete
마주르카춤	mazurka, mazourka
마주보고	oppositely
마주보고	teteatete
마주보는	opposite
마주앉은	teteatete
마주치는 물결	head sea
마주치다	Collide with
마중	Meeting, reception
마중물을 붓다	prime
마중지봉	(麻中之蓬) NULL
마중하다	to go and meet sb somewhere
마지 못해	grudgly
마지근하다	lukewarm
마지노선	Maginotline
마지막	Last, final
마지막 기회	eleventh hour
마지막 마무리	coping stone
마지막 변호를 하다	reply
마지막 부분	tag end
마지막 순간까지 결과를 알 수 없는 경쟁	cliff-hanger
마지막 음절에 악센트가 있는	oxytone
마지막 작품	swan song
마지막 화살	parthian shot
마지막단	neck
마지막부분	homestretch
마지막의	closing
마지막의	terminal
마지막잔 시간	drinkingup time
마지못하다	to be compelled, forced to
마지못해	begrudgingly, reluctantly, unwillingly, out of necessity ; being forced to do sth 억지로
마직물	(麻織物) hemp cloth
마쭈	Matsu
마차	(馬車-) cart pulled by a horse
마차 경주용 말	standardbred
마차 경주장	hippodrome
마차 말	carriage horse
마차 장비 일체	equipage
마차 차고	carriage house
마차 차고	coach house
마차 환상 배치 진영	laager
마차 후부의 하인석	rumble
마차가 다닐 수 있는	carriageable
마차개	carriage dog
마차견	coach dog
마차길	carriage drive
마차길	carriageway
마차꾼자리	Auriga
마차로 나르다	chariot
마차로 나르다	coach
마차로 여행하다	coach
마차를 나르는 나룻배	horse boat
마차부자리	wagoner
마차업자	hackman
